pid,label,first,middle,last,interviewed_by,interview_date,interview_city,interview_country,title,biography,order,layout,collection,thumbnail,full
n01,Christiana B. Massally,Christiana,B,Massally,Jennifer Dohrn,12-Aug-19,Freetown,Sierra Leone,"Registrar, Sierra Leone Nurses and Midwives Board","Christiana Massally serves as the Registrar of the Sierra Leone Nurses and Midwives Board. During the Ebola outbreak, Massally was the Principal Public Health Sister for Western Area (the Freetown Peninsula), a position she held from 2010. Prior to that, Massally worked as a Head Sister in the Pujehun District.",0,frontlines_item,frontlines,img/derivatives/simple/n01/thumbnail.jpg,img/derivatives/simple/n01/full.jpg
n02,Darboi G. Korkoyah,Darboi,G.,Korkoyah,Annette Mwansa Nkowane,15-Aug-19,Monrovia,Liberia,"Monitoring and Evaluation Director, Liberian Board for Nursing and Midwifery","Darboi Korkoyah, a Registered Nurse and graduate of the Tubman National Institute of Medical Arts, is the Director of Monitoring and Evaluation of the Liberian Board for Nursing and Midwifery. Previously, Korkoyah has worked with Médecins Sans Frontières, at ELWA Hospital and at John F. Kennedy Medical Center in Monrovia. Korkoyah is a nurse educator who has taught at numerous institutions including United Methodist University and the Esther Bacon School of Nursing and Midwifery.",1,frontlines_item,frontlines,img/derivatives/simple/n02/thumbnail.jpg,img/derivatives/simple/n02/full.jpg
n11,Marthalyne G.N. Freeman,Marthalyne,GN,Freeman,Jennifer Dohrn,15-Aug-19,Monrovia,Liberia,"Deputy Nursing Director, ELWA Hospital","Marthalyne Freeman is a nurse at ELWA hospital in Monrovia, Liberia. Freeman was first certified as a trained traditional midwife before returning to school to become a registered nurse. Freeman, who is also a pastor, worked in the Ebola Treatment Unit as a counselor for patients.",10,frontlines_item,frontlines,img/derivatives/simple/n11/thumbnail.jpg,img/derivatives/simple/n11/full.jpg
n12,Mary A.M. Fullah,Mary,AM,Fullah,Susan Michaels-Strasser,12-Aug-19,Freetown,Sierra Leone,"Chief Nursing and Midwifery Officer, Sierra Leone Ministry of Health and Sanitation",Mary Fullah is currently serving as the Chief Nursing and Midwifery Officer for the Sierra Leone Ministry of Health and Sanitation. Fullah is a nurse midwife and worked in the reproductive health and family planning program at Princess Christian Maternity Hospital during the Ebola epidemic.,11,frontlines_item,frontlines,img/derivatives/simple/n12/thumbnail.jpg,img/derivatives/simple/n12/full.jpg
n13,Ramatta Y. Kogar,Ramatta,Y,Kogar,Annette Mwansa Nkowane,15-Aug-19,Monrovia,Liberia,"Nurse; Chairperson, West African College of Nursing, Liberian Chapter","Ramatta Kogar is a nurse and the chairperson of the West African College of Nursing, Liberian Chapter. Kogar is a graduate of the Mother Patern College of Health Sciences and holds a masters in public health.",12,frontlines_item,frontlines,img/derivatives/simple/n13/thumbnail.jpg,img/derivatives/simple/n13/full.jpg
n14,Annette Mwansa Nkowane,Annette,Mwansa,Knowane,Jennifer Dohrn,16-Aug-19,Monrovia,Liberia,"Former Technical Officer of Nursing and Midwifery, WHO Human Resources for Health","Annette Mwansa Nkowane is a nurse midwife from Zambia. During the Ebola outbreak, Nkowane served as the Technical Officer of Nursing and Midwifery in the World Health Organization's Health Workforce Department. Previously, she worked with other WHO departments including Mental Health and Substance Dependence and Gender and Women's Health. Nkowane trained as a community health nurse before completing a masters in human resource development. Prior to her position at the WHO, Nkowane worked with International Federation of the Red Cross on developing community-based first aid. As part of Columbia University's On the Frontlines project, Nkowane conducted interviews with Ebola nurses in Sierra Leone and Liberia in August 2019.",13,frontlines_item,frontlines,img/derivatives/simple/n14/thumbnail.jpg,img/derivatives/simple/n14/full.jpg
n15,Victoria I. Roberts,Victoria,I,Roberts,Jennifer Dohrn,16-Aug-19,Monrovia,Liberia,"Registered Nurse, Redemption Hospital, Communicable Disease Unit","Victoria Roberts is a registered nurse in the Communicable Disease Unit of Redemption Hospital in Monrovia Liberia. During the Ebola epidemic, Roberts served in an Ebola treatment unit as a frontline nurse.",14,frontlines_item,frontlines,img/derivatives/simple/n15/thumbnail.jpg,img/derivatives/simple/n15/full.jpg
n16,Gloria Stevens,Gloria,,Stevens,Susan Michaels-Strasser,15-Aug-19,Monrovia,Liberia,"President, Liberian Nurses Association","Gloria Steven is the President of the Liberian Nurses Association. During the Ebola epidemic, Severs and her team provided training and supplies to frontline nurses.",15,frontlines_item,frontlines,img/derivatives/simple/n16/thumbnail.jpg,img/derivatives/simple/n16/full.jpg
n17,Helena K. Tarnue,Helena,K,Tarnue,Jennifer Dohrn,15-Aug-19,Monrovia,Liberia,"Registered Nurse, ELWA Hospital","Helena Tarnue is a registered nurse at ELWA Hospital in Monrovia, Liberia. In 2018, Tarnue was one of five graduates in the first class of ophthalmic nurses to complete a year of intensive study at the New Sight Eye Center in Paynesville, Liberia. At ELWA, Tarnue was one of the first nurses to treat an Ebola patient in Liberia.",16,frontlines_item,frontlines,img/derivatives/simple/n17/thumbnail.jpg,img/derivatives/simple/n17/full.jpg
n18,James N. Harries,James,N,Harries,Susan Michaels-Strasser,16-Aug-19,Monrovia,Liberia,"Registered Nurse, E.S. Grant Mental Health Hospital and ELWA Hospital","James Harries is a registered nurse currently splitting his time between the E.S. Grant Mental Health Hospital and ELWA Hospital, both in Monrovia, Liberia. Harries was part of the team at ELWA which treated some of the earliest Ebola patients seen in Monrovia. Later, Harries was hired by Médecins Sans Frontières Belgium to serve in its Ebola treatment unit.",17,frontlines_item,frontlines,img/derivatives/simple/n18/thumbnail.jpg,img/derivatives/simple/n18/full.jpg
n19,Julia W. Kamara,Julia,W,Kamara,Susan Michaels-Strasser,16-Aug-19,Monrovia,Liberia,"Nurse, John F. Kennedy Medical Center, Monrovia, Liberia","Julia Kamara is a nurse in Monrovia, Liberia. Prior to the Ebola epidemic, Kamara worked at the John F. Kennedy Medical Center. During the epidemic, Kamara served in an Ebola treatment unit set up by the Ministry of Defense.",18,frontlines_item,frontlines,img/derivatives/simple/n19/thumbnail.jpg,img/derivatives/simple/n19/full.jpg
n20,Korto Suakolli Bombo,Korto,Suakollie,Bombo,Margaret Loma Phiri,15-Aug-19,Monrovia,Liberia,"Registered Nurse, Ministry of Health","Korto Suakolli Bombo is a registered nurse working as a health promotion officer with the Ministry of Health and Social Welfare. During the Ebola epidemic, Bombo worked as a nurse at Tellewoyan Memorial Hospital in Liberia. An Ebola survivor herself, Bombo is committed to sharing her story and educating others.",19,frontlines_item,frontlines,img/derivatives/simple/n20/thumbnail.jpg,img/derivatives/simple/n20/full.jpg
n03,Dolphine Buoga,Dolphine,,Buoga,Jennifer Dohrn,12-Aug-19,Freetown,Sierra Leone,"Nursing and Midwifery Services Education Manager, ICAP Sierra Leone","Dolphine Buoga is the Nursing and Midwifery Services Education Manager for ICAP Sierra Leone, a position she has held since 2017. Buoga, originally from Kenya, came to Sierra Leone in 2014 with the International Rescue Committee and worked during the Ebola crisis in an isolation unit. Buoga holds a BA in nursing and a masters in public health with a focus on epidemiology.",2,frontlines_item,frontlines,img/derivatives/simple/n03/thumbnail.jpg,img/derivatives/simple/n03/full.jpg
n21,Matilda W. Doe,Matilda,W,Doe,Jennifer Dohrn,16-Aug-19,Monrovia,Liberia,"Registered Nurse, Redemption Hospital","Matilda Doe is a registered nurse who works in the emergency department at Redemption Hospital in Monrovia, Liberia. At the height of the Ebola epidemic, she worked in a Red Cross Ebola treatment unit. She provided direct care to Ebola patients needing treatment throughout the epidemic. ",20,frontlines_item,frontlines,img/derivatives/simple/n21/thumbnail.jpg,img/derivatives/simple/n21/full.jpg
n22,Mawah Kamara Verdier,Mawah,Kamara,Verdier,Margaret Loma Phiri,15-Aug-19,Monrovia,Liberia,"Registered Nurse; Treasurer, Liberian Nurses Association","Mawah Verdier is the Treasurer for the Liberian Nurses Association. In addition to her training as a registered nurse, she holds a bachelors degree in sociology, and is pursuing a masters degree in peace and conflict studies. At the start of the Ebola epidemic, she became actively involved in educating the community, fundraising, and training nurses to work in Ebola treatment units. Verdier also joined an Ebola treatment unit run by Doctors without Borders. She worked in an ambulance team that helped to transport patients needing medical attention from surrounding communities to the treatment unit.",21,frontlines_item,frontlines,img/derivatives/simple/n22/thumbnail.jpg,img/derivatives/simple/n22/full.jpg
n23,Maria J. Morris,Maria,J,Morris,Susan Michaels-Strasser,15-Aug-19,Monrovia,Liberia,Midwife,"Maria Morris, a midwife by training, responded to a recruiting call to work as a nurse at an Ebola treatment unit, when there was a shortage of nurses who were willing to treat Ebola patients. In addition to working long hours in the unit, she conducted outreach in her community, working to encourage those exhibiting symptoms to seek help.",22,frontlines_item,frontlines,img/derivatives/simple/n23/thumbnail.jpg,img/derivatives/simple/n23/full.jpg
n24,Patience D. Cooper Tokpah,Patience,D,Cooper-Tokpah,Susan Michaels-Strasser,16-Aug-19,Monrovia,Liberia,Nurse Midwife; Former Supervisor JFK Ebola Treatment Unit,"Patience D. Cooper Tokpah currently works at the Ministry of Health in Liberia, coordinating health services for Montserrado County. Before the Ebola epidemic began, she worked as a midwife and a nurse at Clara Town Health Center, serving as the supervisor for maternal and child health. She began supervising the JFK Ebola Treatment Unit in March of 2014 where she oversaw 500 staff and managed resources to treat patients.",23,frontlines_item,frontlines,img/derivatives/simple/n24/thumbnail.jpg,img/derivatives/simple/n24/full.jpg
n25,Sieneh W. Miller,Sieneh,W,Miller,Jennifer Dohrn,16-Aug-19,Monrovia,Liberia,Midwife,"After graduating from midwifery school, Sieneh W. Miller began work as a midwife at Curran Hospital. When the Ebola epidemic began, she began working at Redemption Hospital, helping to establish the Ebola Treatment Unit there. During the outbreak, she treated patients and helped coordinate the response of the ETU with Alan Hospital and ELWA. She currently works as a midwife at Redemption Hospital.",24,frontlines_item,frontlines,img/derivatives/simple/n25/thumbnail.jpg,img/derivatives/simple/n25/full.jpg
